Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,total_hours_per_year,avg_hours_per_day,presence_days,Overtime,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
51,0,0,0,6,2,0,0,1,0,0,131160,1.0,11,0,1.0,6,1,0,0,1708.8166666666666,7.3655890804597695,232,0,3.0,4.0,2.0,3,3
31,1,1,1,10,1,0,0,1,1,1,41890,0.0,23,1,6.0,3,5,1,4,1819.7833333333333,7.710946327683616,236,0,3.0,2.0,4.0,2,4
32,0,1,1,17,4,1,1,4,2,0,193280,1.0,15,3,5.0,2,5,0,3,1695.1833333333334,7.0048898071625345,242,0,2.0,2.0,1.0,3,3
38,0,2,1,2,5,0,1,3,3,0,83210,3.0,11,3,13.0,5,8,7,5,1688.5333333333333,7.185248226950354,235,0,4.0,4.0,3.0,2,3
32,0,0,1,10,1,2,1,1,2,1,23420,4.0,12,2,9.0,2,6,0,4,1959.55,7.998163265306122,245,0,4.0,1.0,3.0,3,3
46,0,0,1,8,3,0,0,4,4,0,40710,3.0,13,0,28.0,5,7,7,7,2556.766666666667,10.78804500703235,237,1,3.0,2.0,2.0,3,3
28,1,0,1,11,2,2,1,2,2,1,58130,2.0,20,1,5.0,2,0,0,0,1604.3166666666666,6.9151580459770114,232,0,1.0,3.0,1.0,3,4
29,0,0,1,18,3,0,1,2,2,0,31430,2.0,22,3,10.0,2,0,0,0,1632.55,6.718312757201646,243,0,1.0,2.0,3.0,3,4
31,0,0,1,1,3,0,1,3,5,0,20440,0.0,21,0,10.0,2,9,7,8,1662.5166666666667,7.2283333333333335,230,0,2.0,4.0,3.0,3,4
25,0,2,1,7,4,2,0,4,5,2,134640,1.0,13,1,6.0,2,6,1,5,1654.8,7.0717948717948715,234,0,2.0,1.0,3.0,3,3
45,0,0,1,17,2,2,1,2,5,0,79910,0.0,13,2,21.0,2,20,4,10,2023.25,8.395228215767634,241,1,3.0,4.0,3.0,2,3
36,0,0,1,28,1,0,1,1,5,0,33770,0.0,12,2,16.0,2,15,10,11,1701.7,7.060995850622406,241,0,,4.0,3.0,3,3
55,0,0,1,14,4,0,0,1,2,1,55380,0.0,17,0,37.0,2,36,4,13,2128.15,9.293231441048036,229,1,4.0,1.0,3.0,3,3
47,1,2,1,1,1,2,1,1,1,0,57620,1.0,11,2,10.0,4,10,9,9,2207.0,9.391489361702128,235,1,1.0,2.0,2.0,2,3
